Id,Burg,State,Culture,Population,Capital,Port
1,Chenan,Chenan Guo,Hantzu,31305,capital,
2,Roquescoma,Frenaia,Luari,28274,capital,
3,Liagnan,Hagz,Hantzu,35564,capital,
4,Chir,Chir,Koryo,31587,capital,port
5,Meve Fi,Wisham,Angshire,24957,capital,port
6,Hieleusai,Parteia,Elladan,21428,capital,port
7,Ningyi,Siz Guo,Hantzu,21523,capital,port
8,Fihul,Hesia,Angshire,21553,capital,port
9,Kish,Dursia,Efratic,24967,capital,port
10,Zhen,Qig Guo,Hantzu,18243,capital,
11,Intibra,Ghria,Keltan,26655,capital,port
12,Velum,Preliusia,Romian,25644,capital,
13,Juapagos,Juapagos,Portuzian,22043,capital,port
14,Burgaz,Quinia,Astellian,27676,capital,port
15,Anhas,Panelia,Portuzian,19309,capital,port
16,Tritonti,Seia,Elladan,28335,capital,port
17,Chillesseau,Pavantia,Luari,19323,capital,port
18,Tatong,Hagz,Hantzu,17713,,
19,Yozhou,Siz Guo,Hantzu,28068,,
20,Losver,Siz Guo,Norse,28731,,
21,Akeralmoddy,Ghria,Keltan,27075,,
22,Wezhou,Hagz,Hantzu,14112,,
23,Orgis,Frenaia,Luari,17769,,
24,Lofosda,Ghria,Norse,27095,,
25,Kornavik,Siz Guo,Norse,37792,,port
26,Hvosberg,Siz Guo,Norse,27715,,
27,Guiping,Siz Guo,Hantzu,27442,,
28,Theorfaber,Ghria,Keltan,37813,,port
29,Chang,Hagz,Hantzu,17080,,
30,Jagmudeok,Chir,Koryo,14034,,port
31,Surinis,Preliusia,Romian,17087,,
32,Auriegium,Hesia,Romian,9782,,
33,Sesip,Dursia,Efratic,14031,,port
34,Hoshan,Panelia,Guantzu,10703,,
35,Xiachuan,Chenan Guo,Hantzu,19719,,
36,Taifeng,Chenan Guo,Hantzu,13924,,port
37,Depica,Preliusia,Romian,14428,,
38,Feligham,Hesia,Angshire,13081,,
39,Teolimahui,Ghria,Nawatli,14414,,port
40,Aronverugie,Ghria,Keltan,27045,,
41,Tutford,Hesia,Angshire,14377,,port
42,Acleasis,Seia,Elladan,14124,,
43,Byla,Seia,Elladan,10048,,
44,Theordaugwyn,Ghria,Keltan,10101,,
45,Rheibach,Ghria,Shwazen,11857,,port
46,Borelishead,Wisham,Angshire,11791,,port
47,Naupheros,Parteia,Elladan,9782,,
48,Taiwai,Wisham,Guantzu,9129,,
49,Laudir,Ghria,Norse,11852,,port
50,Tosvog,Ghria,Norse,9406,,
51,Barested,Hesia,Angshire,11840,,port
